ros_time,recv_time_utc,raw_line,parse_ok,error
1782389675.499079,2026-06-25T12:14:35.499Z,-187.76; -16.59; 997.96; -3641.31; 13548.33; -15776.51; 73628.89; -27343.96; 8232.89; 2190713911.00; 19999.00; 19999.00; 19999.00; 20038.00; 19960.00;  -0.60; 1015.60; 178990.00;   0.75;,1,
1782389675.514194,2026-06-25T12:14:35.514Z,-187.88; -16.59; 998.08; -3632.56; 13565.83; -15794.01; 73628.91; -27343.96; 8234.82; 2190814018.00; 20001.00; 19997.00; 19999.00; 19999.00; 19999.00;  -0.60; 1015.75; 178990.00;   0.75;,1,
1782389675.531134,2026-06-25T12:14:35.531Z,-187.64; -16.59; 998.20; -3610.69; 13565.83; -15785.26; 73628.94; -27343.96; 8236.75; 2190914328.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1015.82; 178990.00;   0.75;,1,
1782389676.524399,2026-06-25T12:14:36.524Z,-186.66; -16.35; 998.45; -3685.06; 13683.95; -15767.76; 73628.97; -27343.96; 8238.67; 2191153416.00; 155788.00; 19957.00; 19999.00; 19999.00; 19999.00;  -0.59; 1015.88; 178990.00;   0.75;,1,
1782389676.540176,2026-06-25T12:14:36.540Z,-186.54; -16.59; 998.45; -3790.06; 13683.95; -15776.51; 73629.00; -27343.96; 8240.60; 2191253170.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1015.86; 173594.00;   0.75;,1,
1782389676.557117,2026-06-25T12:14:36.557Z,-186.66; -16.47; 998.45; -3776.94; 13644.58; -15776.51; 73629.03; -27343.96; 8242.53; 2191353266.00; 19999.00; 19999.00; 19999.00; 20041.00; 19957.00;  -0.59; 1015.88; 173594.00;   0.75;,1,
1782389676.573128,2026-06-25T12:14:36.573Z,-186.78; -16.71; 998.20; -3825.06; 13723.33; -15815.89; 73629.05; -27343.96; 8244.46; 2191453335.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1015.67; 173594.00;   0.75;,1,
1782389676.589891,2026-06-25T12:14:36.590Z,-186.90; -16.84; 997.96; -3693.81; 13622.70; -15780.89; 73629.09; -27343.95; 8246.39; 2191553586.00; 19999.00; 19999.00; 20020.00; 19979.00; 19999.00;  -0.59; 1015.45; 173594.00;   0.75;,1,
1782389676.606146,2026-06-25T12:14:36.606Z,-186.90; -16.84; 998.20; -3724.44; 13666.45; -15776.51; 73629.11; -27343.94; 8248.32; 2191653945.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1015.69; 173594.00;   0.75;,1,
1782389676.622621,2026-06-25T12:14:36.622Z,-186.90; -16.59; 998.20; -3811.94; 13653.33; -15789.64; 73629.13; -27343.94; 8250.25; 2191753668.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1015.69; 173594.00;   0.75;,1,
1782389676.639108,2026-06-25T12:14:36.639Z,-186.78; -16.59; 998.20; -3715.69; 13644.58; -15772.14; 73629.15; -27343.94; 8252.18; 2191853913.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1015.66; 173594.00;   0.75;,1,
